iter	Logloss
0	0.6776013003
1	0.6624605583
2	0.6479848209
3	0.6346570902
4	0.6226385305
5	0.6112714667
6	0.600921563
7	0.5921624951
8	0.5844378116
9	0.5758369782
10	0.5680076364
11	0.5618270378
12	0.555081013
13	0.5489304836
14	0.5430036254
15	0.5380673046
16	0.5322791792
17	0.5272909141
18	0.5226977365
19	0.5184305174
20	0.5144186665
21	0.511026362
22	0.5072261735
23	0.5043006196
24	0.5018166225
25	0.4988122285
26	0.4961659096
27	0.4932714974
28	0.4905148439
29	0.4878630328
30	0.48565896
31	0.483437396
32	0.4813428181
33	0.4794581245
34	0.4775628453
35	0.4757783439
36	0.4741295525
37	0.4724049787
38	0.4707494461
39	0.4692834633
40	0.4677511868
41	0.4662112584
42	0.4650139685
43	0.4638017572
44	0.4626958843
45	0.4616026949
46	0.4604895875
47	0.4594200906
48	0.4583185086
49	0.4572969443
50	0.4564582787
51	0.4554868148
52	0.4545954025
53	0.4536847042
54	0.4530550542
55	0.452296456
56	0.4514501074
57	0.4505473809
58	0.4499517583
59	0.449163472
60	0.4485306543
61	0.4477877919
62	0.4469727827
63	0.4463127646
64	0.4457555633
65	0.4453377654
66	0.444839377
67	0.4443245782
68	0.4436984317
69	0.4429606362
70	0.4426277514
71	0.4420902395
72	0.4417884119
73	0.4412826053
74	0.4408796798
75	0.4405080233
76	0.4401198258
77	0.4398248868
78	0.439324643
79	0.4388743961
80	0.438506721
81	0.438137967
82	0.4378434389
83	0.4373872839
84	0.437098747
85	0.4367764289
86	0.4364628775
87	0.4361376041
88	0.4355824696
89	0.4353429283
90	0.434988109
91	0.434705066
92	0.4344411335
93	0.4342163071
94	0.4337343449
95	0.4333534016
96	0.4330237926
97	0.4328512032
98	0.432628447
99	0.4323558742
100	0.4318634124
101	0.4315389407
102	0.431148828
103	0.4309642434
104	0.4307053437
105	0.4304682944
106	0.4302480342
107	0.4300388075
108	0.4297697076
109	0.4295663751
110	0.4293373163
111	0.4290833348
112	0.4289190537
113	0.4287798194
114	0.4284729259
115	0.4283112381
116	0.4280671957
117	0.4277261762
118	0.4273332613
119	0.427333181
120	0.4272430937
121	0.4270942256
122	0.4267703867
123	0.42669103
124	0.4265177554
125	0.426351179
126	0.4261935548
127	0.4259967621
128	0.4257519691
129	0.4255725928
130	0.4253932036
131	0.4251705508
132	0.4250099389
133	0.4247740966
134	0.4245173428
135	0.4244194138
136	0.4243051603
137	0.4242278131
138	0.4241092053
139	0.4238699266
140	0.4237113396
141	0.4235327184
142	0.4234095417
143	0.4233556439
144	0.4232246536
145	0.4231309142
146	0.4229523838
147	0.4225846396
148	0.4223136207
149	0.4221412474
