iter	Passed	Remaining
0	21	3255
1	50	3713
2	71	3512
3	92	3368
4	120	3482
5	144	3471
6	165	3376
7	183	3254
8	205	3221
9	230	3223
10	247	3129
11	265	3056
12	286	3018
13	304	2956
14	322	2900
15	340	2849
16	362	2834
17	388	2846
18	414	2857
19	442	2876
20	465	2858
21	495	2880
22	525	2903
23	547	2875
24	569	2845
25	604	2880
26	628	2861
27	654	2850
28	674	2814
29	691	2766
30	709	2721
31	727	2683
32	748	2653
33	774	2641
34	803	2640
35	823	2606
36	838	2562
37	855	2522
38	879	2502
39	907	2496
40	937	2493
41	964	2481
42	984	2449
43	1002	2416
44	1024	2389
45	1045	2362
46	1067	2339
47	1090	2316
48	1107	2283
49	1125	2250
50	1141	2215
51	1158	2183
52	1180	2160
53	1208	2147
54	1230	2125
55	1248	2095
56	1267	2068
57	1284	2038
58	1301	2007
59	1320	1980
60	1341	1957
61	1367	1940
62	1389	1918
63	1405	1888
64	1424	1863
65	1445	1839
66	1466	1817
67	1482	1787
68	1499	1760
69	1517	1734
70	1537	1711
71	1560	1690
72	1579	1666
73	1605	1648
74	1627	1627
75	1648	1604
76	1665	1579
77	1681	1551
78	1698	1526
79	1715	1501
80	1732	1475
81	1749	1450
82	1768	1427
83	1786	1403
84	1804	1379
85	1820	1354
86	1841	1333
87	1865	1314
88	1884	1291
89	1897	1265
90	1918	1243
91	1946	1227
92	1970	1207
93	1982	1181
94	2004	1160
95	2024	1138
96	2044	1117
97	2054	1090
98	2068	1065
99	2083	1041
100	2100	1019
101	2119	997
102	2136	974
103	2154	952
104	2174	931
105	2195	911
106	2219	891
107	2237	870
108	2254	847
109	2271	825
110	2290	804
111	2316	785
112	2340	766
113	2364	746
114	2383	725
115	2403	704
116	2427	684
117	2454	665
118	2478	645
119	2483	620
120	2492	597
121	2514	577
122	2535	556
123	2546	533
124	2564	512
125	2581	491
126	2598	470
127	2615	449
128	2629	428
129	2651	407
130	2677	388
131	2701	368
132	2718	347
133	2737	326
134	2763	307
135	2790	287
136	2811	266
137	2828	245
138	2845	225
139	2874	205
140	2901	185
141	2921	164
142	2942	144
143	2955	123
144	2980	102
145	3001	82
146	3023	61
147	3050	41
148	3081	20
149	3100	0
