iter	RMSE
0	76853.92429
1	74434.85747
2	72201.41077
3	70156.11777
4	68140.86889
5	66260.95757
6	64290.22238
7	62531.61504
8	60858.65557
9	59168.75697
10	57482.06878
11	55964.80417
12	54532.7547
13	53153.2331
14	51884.82062
15	50669.85433
16	49401.29986
17	48204.97538
18	47117.80274
19	46076.08668
20	45080.39244
21	44232.2481
22	43348.0954
23	42451.45131
24	41608.03099
25	40852.90976
26	40112.22979
27	39373.14891
28	38624.03151
29	37926.17531
30	37295.74747
31	36659.90233
32	35999.57741
33	35512.00629
34	34960.04187
35	34410.11934
36	33886.72988
37	33416.27771
38	32863.79039
39	32344.54632
40	31963.18958
41	31585.34539
42	31136.73446
43	30733.28465
44	30342.03528
45	29988.85657
46	29566.03204
47	29219.80747
48	28894.72855
49	28649.67863
50	28359.42394
51	28082.34171
52	27803.33881
53	27491.50828
54	27283.06607
55	27039.15653
56	26729.37277
57	26507.51529
58	26272.87124
59	26050.0728
60	25822.40969
61	25583.90836
62	25390.52732
63	25161.6583
64	24961.45963
65	24806.00428
66	24590.87611
67	24403.82391
68	24281.27617
69	24116.09119
70	23938.5913
71	23766.58871
72	23623.3047
73	23449.46681
74	23309.3023
75	23169.66382
76	23001.71397
77	22885.30009
78	22769.53031
79	22644.31645
80	22529.64825
81	22434.29712
82	22285.48322
83	22168.17354
84	22132.15507
85	22022.71105
86	21937.06486
87	21819.37346
88	21709.34256
89	21590.16792
90	21506.96591
91	21399.39375
92	21279.02306
93	21197.4559
94	21121.26976
95	21043.09857
96	20995.91967
97	20909.90962
98	20812.69263
99	20785.96569
100	20725.68263
101	20645.78445
102	20565.54326
103	20468.33398
104	20380.65717
105	20317.26764
106	20234.44429
107	20170.62891
108	20105.59175
109	20051.94143
110	19969.25064
111	19932.94296
112	19895.34872
113	19833.06407
114	19745.11426
115	19663.35142
116	19569.6575
117	19496.54529
118	19401.10108
119	19345.67093
120	19276.37344
121	19172.19262
122	19067.87309
123	18968.37666
124	18885.88231
125	18876.25917
126	18818.9954
127	18770.07586
128	18726.10176
129	18670.73865
130	18625.26593
131	18558.05973
132	18490.4011
133	18434.60829
134	18375.85013
135	18321.84073
136	18273.13187
137	18212.81314
138	18164.27874
139	18121.74186
140	18075.70387
141	18041.25821
142	17995.59391
143	17966.98527
144	17895.72322
145	17810.67492
146	17769.87574
147	17736.78625
148	17701.51872
149	17639.81631
