iter	Passed	Remaining
0	40	5961
1	82	6118
2	123	6064
3	159	5822
4	198	5742
5	232	5583
6	272	5572
7	314	5584
8	355	5568
9	393	5503
10	431	5450
11	476	5485
12	515	5430
13	558	5426
14	601	5411
15	640	5366
16	680	5321
17	720	5282
18	760	5240
19	796	5180
20	836	5141
21	882	5133
22	929	5133
23	979	5142
24	1024	5121
25	1068	5094
26	1114	5075
27	1157	5044
28	1196	4992
29	1238	4952
30	1279	4909
31	1316	4854
32	1355	4806
33	1397	4766
34	1442	4738
35	1488	4712
36	1535	4688
37	1583	4667
38	1630	4641
39	1675	4608
40	1714	4557
41	1755	4514
42	1795	4467
43	1830	4409
44	1868	4360
45	1906	4309
46	1944	4260
47	1987	4222
48	2026	4176
49	2065	4130
50	2103	4082
51	2142	4036
52	2181	3993
53	2222	3951
54	2261	3906
55	2298	3857
56	2334	3809
57	2373	3765
58	2414	3724
59	2450	3676
60	2489	3631
61	2531	3593
62	2577	3559
63	2627	3530
64	2669	3490
65	2712	3451
66	2750	3407
67	2792	3366
68	2829	3321
69	2870	3280
70	2909	3236
71	2946	3191
72	2984	3148
73	3023	3104
74	3068	3068
75	3115	3033
76	3164	2999
77	3209	2962
78	3251	2921
79	3294	2882
80	3332	2838
81	3371	2796
82	3410	2753
83	3450	2711
84	3473	2656
85	3515	2616
86	3557	2576
87	3594	2532
88	3632	2489
89	3669	2446
90	3706	2402
91	3741	2359
92	3780	2317
93	3815	2273
94	3851	2229
95	3889	2187
96	3926	2145
97	3961	2102
98	3999	2060
99	4021	2010
100	4063	1971
101	4113	1935
102	4155	1896
103	4200	1857
104	4238	1816
105	4276	1774
106	4317	1735
107	4358	1695
108	4402	1655
109	4446	1616
110	4493	1578
111	4543	1541
112	4590	1503
113	4631	1462
114	4667	1420
115	4704	1378
116	4747	1338
117	4784	1297
118	4826	1257
119	4874	1218
120	4917	1178
121	4957	1137
122	4991	1095
123	5026	1053
124	5063	1012
125	5078	967
126	5113	926
127	5150	885
128	5187	844
129	5222	803
130	5257	762
131	5295	722
132	5331	681
133	5372	641
134	5417	601
135	5456	561
136	5498	521
137	5537	481
138	5574	441
139	5614	401
140	5654	360
141	5695	320
142	5734	280
143	5781	240
144	5830	201
145	5878	161
146	5922	120
147	5969	80
148	6013	40
149	6051	0
